anno,gdpCapita,variazionePercentuale
2022,35069,-3.77
2021,36441,14.15
2020,31923,-5.20
2019,33674,-2.74
2018,34622,6.84
2017,32407,4.67
2016,30961,2.38
2015,30242,-14.97
2014,35566,0.02
2013,35560,1.45
2012,35052,-9.31
2011,38650,7.25
2010,36036,-3.20
2009,37227,-9.08
2008,40945,8.12
2007,37871,12.95
2006,33530,4.60
2005,32055,2.36
2004,31317,13.77
2003,27526,23.02
2002,22376,9.15
2001,20501,1.80
2000,20138,-8.49
1999,22005,-1.40
1998,22318,2.24
1997,21829,-5.43
1996,23082,11.70
1995,20665,6.86