Code,Classificazione,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
P.3,Spesa per consumi finali,284.337,290.427,296.872,302.747,309.533,319.832,328.580,329.970,336.008,343.392,350.862,360.516,373.700,387.736,394.476,402.796,407.915,413.471,421.585,425.900,430.234,436.321,444.145,452.233,457.075,445.949,457.716,482.637
S.14+S15,   Economie domestiche e ISLED,235.070,240.421,247.116,252.881,258.737,267.209,274.587,274.325,278.788,285.557,292.276,301.031,312.292,322.789,325.822,332.949,336.232,340.643,346.877,349.477,353.163,358.267,365.357,372.306,375.674,361.474,368.934,393.761
S.13,   Amministrazioni pubbliche,49.267,50.006,49.757,49.866,50.796,52.623,53.992,55.646,57.220,57.835,58.586,59.485,61.409,64.947,68.654,69.847,71.683,72.828,74.708,76.424,77.072,78.054,78.789,79.927,81.401,84.475,88.782,88.877
P.5,Investimenti lordi,117.090,116.056,111.621,120.605,121.175,128.420,133.944,126.376,126.702,123.299,141.615,154.593,157.809,168.422,170.913,161.729,181.137,171.597,164.667,170.087,167.502,173.271,178.289,182.591,189.527,206.051,194.044,191.750
P.51b,   Investimenti fissi lordi,111.512,107.624,109.860,117.997,121.952,129.730,129.932,130.541,129.362,137.178,141.999,149.838,160.274,164.257,152.055,157.314,162.233,169.079,171.689,175.844,176.429,179.629,185.850,188.752,190.849,188.045,195.768,205.137
P.5111be,     Beni di equipaggiamento,64.154,64.495,68.667,76.536,81.087,85.899,86.153,86.327,84.996,90.398,92.484,99.519,109.127,111.163,97.908,101.051,103.252,108.135,108.476,110.584,110.395,114.071,119.721,122.262,124.546,122.372,130.327,138.486
P.5111c,     Costruzione,47.358,43.129,41.193,41.461,40.865,43.831,43.779,44.215,44.366,46.781,49.515,50.319,51.147,53.094,54.147,56.263,58.981,60.943,63.213,65.260,66.033,65.558,66.129,66.490,66.303,65.673,65.441,66.651
P.52 1,Variazione delle scorte,7.039,7.375,2.141,798,-1.586,2.747,3.219,-2.746,-1.251,-3.898,-1.751,91,-281,-2.778,-4.354,-1.540,1.762,-772,7.242,1.030,-7.276,-8.132,-9.420,-3.079,1.280,3.884,-5.299,-9.874
P.53,Acquisizioni meno cessioni di oggetti di valore,-1.462,1.058,-380,1.810,808,-4.057,793,-1.419,-1.409,-9.981,1.366,4.664,-2.184,6.942,23.212,5.956,17.142,3.290,-14.264,-6.788,-1.651,1.775,1.858,-3.081,-2.602,14.122,3.575,-3.513
P.6,Esportazioni di beni e servizi,166.974,172.468,198.916,202.356,209.329,242.549,242.799,234.095,232.689,257.662,280.499,313.457,362.598,387.871,349.821,404.940,422.448,436.246,471.767,434.897,426.381,452.923,454.194,478.772,480.061,446.502,529.902,601.221
P.61,   Esportazioni di beni,116.655,119.900,140.378,138.886,140.503,160.692,163.066,158.686,158.280,178.772,192.549,218.176,251.439,276.995,241.015,296.462,315.290,317.974,351.761,309.395,300.387,322.134,323.540,338.075,340.656,331.441,400.823,454.021
P.61c,     Esportazioni di beni senza l'oro non monetario,99.275,101.538,113.909,116.930,123.782,138.272,141.410,140.115,140.042,155.763,167.957,194.773,218.319,233.961,206.303,232.370,237.033,236.823,231.977,243.009,233.261,242.974,260.677,282.692,286.934,267.929,326.758,365.815
P.62,   Esportazioni di servizi,50.319,52.567,58.538,63.470,68.826,81.857,79.733,75.408,74.409,78.890,87.949,95.282,111.159,110.876,108.806,108.478,107.158,118.272,120.006,125.502,125.994,130.789,130.654,140.697,139.404,115.061,129.079,147.201
P.7,Importazioni di beni e servizi,151.172,158.583,179.582,185.753,192.571,219.262,221.685,208.364,207.792,222.087,252.127,274.845,305.023,329.622,312.171,344.921,375.762,377.669,403.408,365.266,356.111,384.667,392.069,404.075,409.784,401.883,438.331,494.148
P.71,   Importazioni di beni,113.177,117.968,136.403,137.320,139.561,158.119,161.057,148.583,147.801,153.296,177.985,197.894,219.838,243.661,222.047,252.349,280.125,273.645,295.711,249.851,239.249,261.388,260.117,267.320,269.734,271.947,294.498,339.396
P.71c,     Importazioni di beni senza l'oro non monetario,96.360,98.482,111.699,117.416,121.893,140.332,143.502,131.937,131.669,140.832,154.301,173.742,189.808,194.676,166.027,181.751,184.567,186.633,187.698,187.340,172.839,181.165,193.216,208.755,212.344,191.538,211.805,248.161
P.72,   Importazioni di servizi,37.995,40.614,43.179,48.433,53.010,61.143,60.629,59.782,59.992,68.791,74.142,76.951,85.185,85.961,90.124,92.571,95.637,104.024,107.696,115.414,116.862,123.279,131.952,136.755,140.050,129.936,143.833,154.752
B.1*b,Prodotto interno lordo,417.228,420.368,427.826,439.955,447.466,471.540,483.637,482.077,487.607,502.266,520.848,553.722,589.085,614.408,603.039,624.545,635.739,643.646,654.612,665.618,668.006,677.848,684.558,709.522,716.879,696.620,743.330,781.460